Animation,Folder,Interaction,Total,Anim,Layout,"Coverage
(how many of the 16 families this animation covers)",number of individual sliders,Border Radius,Speed,Spacing,Dimensions,Size / Scale,Typography,Angle / Tilt,Perspective,Direction,Density / Count,Pointer Latency,Visual Effect,Stagger / Timing,Unique,Spread Distance,Hover Effect
3D Parallax Gallery,Gallery-and-Carousel,Hover + Pointer,6,4,2,6 / 16  (38%),6,Border Radius,✗,Grid Gap,✗,✗,✗,Tilt Angle,Perspective,Direction,✗,Pointer Latency,✗,✗,✗,✗,✗
Accordion Scroll Horizontal,Gallery-and-Carousel,Hover,6,2,4,4 / 16  (25%),6,Panel Border Radius,Panel Speed,Panel Gap,"Open Width
Panel Default Width
Panel Default Height",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Accordion Scroll Vertical,Gallery-and-Carousel,Hover,6,2,4,4 / 16  (25%),6,Panel Border Radius,Panel Speed,Panel Gap,"Open Height
Panel Default Height
Panel Default Width",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Blur Focus Gallery,Gallery-and-Carousel,Hover,3,1,2,3 / 16  (19%),3,Border Radius,✗,Grid Gap,✗,✗,✗,✗,✗,✗,✗,✗,Blur Intensity,✗,✗,✗,✗
Card Spread,Gallery-and-Carousel,Scroll,5,3,2,5 / 16  (31%),5,Card Border Radius,Animation Speed,✗,Card Width,✗,✗,Card Rotation,✗,✗,✗,✗,✗,✗,✗,Spread Distance,✗
Card Spread By Hover,Gallery-and-Carousel,Hover,4,2,2,4 / 16  (25%),4,Card Border Radius,✗,✗,Card Width,✗,✗,Card Rotation,✗,✗,✗,✗,✗,✗,✗,Spread Distance,✗
Classic Horizontal Scroll,Gallery-and-Carousel,Scroll,5,1,4,3 / 16  (19%),5,✗,Animation Speed,"Gap
Outer Padding","Panel Width
Panel Height",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Corner Fold Scroll,Gallery-and-Carousel,Scroll,3,2,1,3 / 16  (19%),3,✗,Animation Speed,✗,Banner Height,✗,✗,✗,✗,✗,✗,✗,✗,✗,Fold Point,✗,✗
Cursor Trail,Gallery-and-Carousel,Pointer,5,3,2,4 / 16  (25%),5,Border Radius,✗,✗,✗,Image Size,✗,✗,✗,✗,Density,✗,✗,"Pop Duration
Gap / Stagger",✗,✗,✗
Diagonal Shuffle,Gallery-and-Carousel,Scroll,4,1,3,4 / 16  (25%),4,Card Border Radius,Animation Speed,✗,Card Max Width,✗,✗,Angle,✗,✗,✗,✗,✗,✗,✗,✗,✗
Digital Jukebox,Gallery-and-Carousel,Scroll,5,0,5,4 / 16  (25%),5,Item Border Radius,✗,Item Spacing,"Item Width
Item Height",✗,✗,✗,Perspective,✗,✗,✗,✗,✗,✗,✗,✗
Dolphin Animation,Gallery-and-Carousel,Pointer,5,3,2,4 / 16  (25%),5,Border Radius,✗,✗,✗,Image Size,✗,✗,✗,✗,Density,✗,✗,"Pop Duration
Gap / Stagger",✗,✗,✗
Endless Parallax,Gallery-and-Carousel,Pointer + Auto-play,4,1,3,4 / 16  (25%),4,Tile Border Radius,Animation Speed,✗,✗,Image Size,✗,✗,✗,✗,Image Density,✗,✗,✗,✗,✗,✗
Expanding Horizontal Scroll,Gallery-and-Carousel,Scroll,3,2,1,3 / 16  (19%),3,✗,Animation Speed,✗,Panel Image Width,Zoom Level,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Ferris Wheel,Gallery-and-Carousel,Auto-play,5,2,3,4 / 16  (25%),5,Tile Border Radius,Rotation Speed,✗,✗,"Ring Size
Tile Size",✗,✗,✗,Rotation Direction,✗,✗,✗,✗,✗,✗,✗
Horizontal & Vertical Scroll,Gallery-and-Carousel,Scroll,5,1,4,4 / 16  (25%),5,Card Border Radius,Animation Speed,Card Gap,"Card Width
Card Height",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Horizontal Carousel Perspective,Gallery-and-Carousel,Scroll,5,2,3,4 / 16  (25%),5,Card Border Radius,✗,Card Spacing,"Card Width
Card Height",3D Depth,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Horizontal Lanes,Gallery-and-Carousel,Auto-play,4,1,3,4 / 16  (25%),4,Image Border Radius,Lane Speed,Image Padding,Row Height,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Horizontally Scrolling Gallery,Gallery-and-Carousel,Hover + Pointer,5,3,2,4 / 16  (25%),5,Card Border Radius,"Hover Speed
Scroll Speed",✗,✗,Card Size,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,Hover Shape
Rotating Gallery Grid,Gallery-and-Carousel,Hover + Pointer,6,4,2,5 / 16  (31%),6,Card Border Radius,✗,Grid Gap,✗,✗,✗,"Max Rotation
Max Movement",✗,Direction,✗,Pointer Latency,✗,✗,✗,✗,✗
Looped Tabs With Perspective,Gallery-and-Carousel,Hover + Auto-play,4,1,3,4 / 16  (25%),4,Card Border Radius,Marquee Speed,Card Gap,✗,✗,✗,✗,Perspective,✗,✗,✗,✗,✗,✗,✗,✗
Breathing Gallery (MantaRay),Gallery-and-Carousel,Hover + Auto-play,6,2,4,4 / 16  (25%),6,Image Border Radius,Breathing Speed,Image Overlap,✗,"Hover Size
Image Base Size
Size Variation",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Mirror Hover Gallery,Gallery-and-Carousel,Hover,4,1,3,4 / 16  (25%),4,Card Border Radius,✗,Grid Gap,Row Height,✗,✗,✗,✗,✗,✗,✗,✗,Stagger,✗,✗,✗
Mouse Track Infinite Gallery,Gallery-and-Carousel,Hover + Pointer,5,3,2,4 / 16  (25%),5,Image Border Radius,Gallery Speed,✗,✗,Item Size,✗,✗,✗,✗,✗,✗,"Blur Intensity
Parallax Depth",✗,✗,✗,✗
Paragraph Reveal,Gallery-and-Carousel,Scroll,5,3,2,4 / 16  (25%),5,✗,Animation Speed,✗,✗,Image Mask Width,"Font Size
Line Height",✗,✗,✗,Image Count,✗,✗,✗,✗,✗,✗
Scroll 3D Animation,Gallery-and-Carousel,Scroll,4,1,3,4 / 16  (25%),4,Panel Border Radius,Animation Speed,Panel Gap (Depth),✗,✗,✗,✗,Perspective,✗,✗,✗,✗,✗,✗,✗,✗
Shape Scroll,Gallery-and-Carousel,Scroll,5,2,3,4 / 16  (25%),5,Panel Border Radius,Animation Speed,✗,"Panel Width
Panel Height",✗,✗,✗,✗,✗,✗,✗,✗,✗,Reveal Shape,✗,✗
Small Carousel,Gallery-and-Carousel,Click,4,0,4,3 / 16  (19%),4,Card Border Radius,✗,✗,"Card Width
Card Height",Card Border Width,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Snake Animation,Gallery-and-Carousel,Entrance + Click,6,2,4,5 / 16  (31%),6,Image Border Radius,Animation Speed,✗,✗,"Image Base Size
Size Variation",✗,✗,✗,✗,Image Count,✗,✗,✗,Wave Amplitude,✗,✗
Sticky Repeater Stack,Gallery-and-Carousel,Scroll,3,1,2,3 / 16  (19%),3,Card Border Radius,Scroll Speed,Stack Gap,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Title Folds Scroll,Gallery-and-Carousel,Scroll,5,2,3,4 / 16  (25%),5,"Card Border Radius
Image Border Radius",Animation Speed,✗,Card Height,Card Entry Scale,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Vertical Lanes,Gallery-and-Carousel,Auto-play,4,1,3,4 / 16  (25%),4,Image Border Radius,Lane Speed,Image Padding,Column Width,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Wheel Carousel,Gallery-and-Carousel,Auto-play,5,2,3,4 / 16  (25%),5,Card Border Radius,Rotation Speed,✗,✗,"Ring Size
Card Size",✗,✗,✗,Rotation Direction,✗,✗,✗,✗,✗,✗,✗
Window Scroll,Gallery-and-Carousel,Scroll,5,1,4,4 / 16  (25%),5,Panel Border Radius,Animation Speed,✗,"Panel Height
Panel Width",✗,✗,✗,Perspective,✗,✗,✗,✗,✗,✗,✗,✗
Aura Stack,Typographic_interactions,Scroll,9,2,7,5 / 16  (31%),9,✗,Animation Speed,Column Gap,Content Max Width,✗,"Main Title Size
Section Heading Size
Heading Letter Spacing
Featured Text Size
Background Number Size",✗,✗,✗,✗,✗,Blur Intensity,✗,✗,✗,✗
Book Animation,Typographic_interactions,Scroll,3,0,3,3 / 16  (19%),3,Page Border Radius,✗,Page Padding,✗,✗,✗,✗,Perspective,✗,✗,✗,✗,✗,✗,✗,✗
Circular Scroll Nav,Typographic_interactions,Hover + Scroll,4,2,2,4 / 16  (25%),4,✗,✗,Gap Between Items,✗,✗,Item Font Size,✗,✗,✗,✗,✗,✗,Entrance Stagger,✗,✗,Hover Shift
Editorial Text Reveal,Typographic_interactions,Scroll,8,1,7,4 / 16  (25%),8,✗,Animation Speed,Column Gap,Content Max Width,✗,"Main Title Size
Section Heading Size
Heading Letter Spacing
Featured Text Size
Background Number Size",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Headline Images Overlay,Typographic_interactions,Auto-play,5,1,4,5 / 16  (31%),5,✗,Animation Speed,Content Padding,✗,Mask Scale,Text Font Size,✗,✗,✗,✗,✗,Image Grayscale,✗,✗,✗,✗
IconText Pro Gallery,Typographic_interactions,Hover,6,2,4,4 / 16  (25%),6,Panel Border Radius,Panel Speed,Panel Gap,"Open Width
Panel Default Width
Panel Default Height",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Marquee Scroll Velocity,Typographic_interactions,Auto-play,4,1,3,3 / 16  (19%),4,✗,Marquee Speed,Row Gap,✗,✗,"Font Size
Stroke Width",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Mirror Mouse Track,Typographic_interactions,Pointer,5,4,1,5 / 16  (31%),5,✗,✗,✗,✗,✗,Heading Font Size,Tilt Angle,Perspective,Direction,✗,Pointer Latency,✗,✗,✗,✗,✗
Text Fold Transition,Typographic_interactions,Scroll,3,1,2,3 / 16  (19%),3,✗,Animation Speed,Heading/Body Gap,Content Max Width,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Tunnel Vision,Typographic_interactions,Pointer,5,3,2,4 / 16  (25%),5,✗,✗,✗,✗,✗,"Font Size
Stroke Width",Parallax Range,✗,Direction,✗,Pointer Latency,✗,✗,✗,✗,✗